model_id,n_seeds,BLEU_mean,BLEU_std,BLEU_mean_std,chrF_mean,chrF_std,chrF_mean_std,TER_mean,TER_std,TER_mean_std,TA_mean,TA_std,TA_mean_std,TCR_mean,TCR_std,TCR_mean_std
B1_general_translation,3,4.8841,0.0,4.8841 ± 0.0000,25.9489,0.0,25.9489 ± 0.0000,95.8452,0.0,95.8452 ± 0.0000,12.3529,0.0,12.3529 ± 0.0000,16.5025,0.0,16.5025 ± 0.0000
B2_domain_adapted,3,17.4398,0.4606,17.4398 ± 0.4606,44.5986,0.1064,44.5986 ± 0.1064,68.3239,0.3095,68.3239 ± 0.3095,31.7647,1.0189,31.7647 ± 1.0189,44.5813,1.4982,44.5813 ± 1.4982
B3_entity_aware,3,18.3225,0.0,18.3225 ± 0.0000,43.32,0.0,43.3200 ± 0.0000,75.8168,0.0,75.8168 ± 0.0000,56.6176,0.0,56.6176 ± 0.0000,71.9212,0.0,71.9212 ± 0.0000
Ours_entity_aware_domain_adapted,3,31.2881,0.0502,31.2881 ± 0.0502,52.6101,0.1331,52.6101 ± 0.1331,55.4214,0.3503,55.4214 ± 0.3503,60.7843,0.3061,60.7843 ± 0.3061,77.1757,0.6198,77.1757 ± 0.6198
